地址,设备ID,点名,类型,点描述,读写属性,站信息
1,2-30002-001824-00278.tunliu_delta_byc.1,M270,int16,有无亏热功能,RO,屯留宾馆
2,2-30002-001824-00278.tunliu_delta_byc.1,M500,int16,有无定时,RO,屯留宾馆
3,2-30002-001824-00278.tunliu_delta_byc.1,M580,int16,六日定时状态,RO,屯留宾馆
4,2-30002-001824-00278.tunliu_delta_byc.1,M581,int16,工日定时状态,RO,屯留宾馆
5,2-30002-001824-00278.tunliu_delta_byc.1,M65,int16,有无热量计算,RO,屯留宾馆
6,2-30002-001824-00278.tunliu_delta_byc.1,M700,int16,位备用1,RW,屯留宾馆
7,2-30002-001824-00278.tunliu_delta_byc.1,M701,int16,位备用2,RW,屯留宾馆
8,2-30002-001824-00278.tunliu_delta_byc.1,M702,int16,位备用3,RW,屯留宾馆
9,2-30002-001824-00278.tunliu_delta_byc.1,D3,float,试验参数5,RO,屯留宾馆
11,2-30002-001824-00278.tunliu_delta_byc.1,D4,float,每天耗热量,RO,屯留宾馆
13,2-30002-001824-00278.tunliu_delta_byc.1,D5,float,每度日耗热量,RO,屯留宾馆
15,2-30002-001824-00278.tunliu_delta_byc.1,D6,float,每度日面积耗热量,RO,屯留宾馆
17,2-30002-001824-00278.tunliu_delta_byc.1,D7,float,前天耗热量,RO,屯留宾馆
19,2-30002-001824-00278.tunliu_delta_byc.1,D8,float,计算前天耗热量,RO,屯留宾馆
21,2-30002-001824-00278.tunliu_delta_byc.1,D9,int16,累计热量低位,RO,屯留宾馆
22,2-30002-001824-00278.tunliu_delta_byc.1,D10,int16,累计热量高位,RO,屯留宾馆
23,2-30002-001824-00278.tunliu_delta_byc.1,D11,float,实时外温,RO,屯留宾馆
25,2-30002-001824-00278.tunliu_delta_byc.1,D12,float,换热器一次供压,RO,屯留宾馆
27,2-30002-001824-00278.tunliu_delta_byc.1,D13,float,换热器一次回压,RO,屯留宾馆
29,2-30002-001824-00278.tunliu_delta_byc.1,D14,float,实时二供压,RO,屯留宾馆
31,2-30002-001824-00278.tunliu_delta_byc.1,D15,float,实时二回压,RO,屯留宾馆
33,2-30002-001824-00278.tunliu_delta_byc.1,D16,float,实际换热器一侧供温,RO,屯留宾馆
35,2-30002-001824-00278.tunliu_delta_byc.1,D17,float,实际换热器一侧回温,RO,屯留宾馆
37,2-30002-001824-00278.tunliu_delta_byc.1,D18,float,实际二供温,RO,屯留宾馆
39,2-30002-001824-00278.tunliu_delta_byc.1,D19,float,实际二回温,RO,屯留宾馆
41,2-30002-001824-00278.tunliu_delta_byc.1,D22,int16,实际换热器一侧压差,RO,屯留宾馆
42,2-30002-001824-00278.tunliu_delta_byc.1,D23,float,实际二温差,RO,屯留宾馆
44,2-30002-001824-00278.tunliu_delta_byc.1,D24,float,实际二平温,RO,屯留宾馆
46,2-30002-001824-00278.tunliu_delta_byc.1,D25,float,实时二压差,RO,屯留宾馆
48,2-30002-001824-00278.tunliu_delta_byc.1,D30,int16,试验参数10,RO,屯留宾馆
49,2-30002-001824-00278.tunliu_delta_byc.1,D38,float,计算二供温,RO,屯留宾馆
51,2-30002-001824-00278.tunliu_delta_byc.1,D39,float,计算二回温,RO,屯留宾馆
53,2-30002-001824-00278.tunliu_delta_byc.1,D42,int16,计算换热器一侧压差,RO,屯留宾馆
54,2-30002-001824-00278.tunliu_delta_byc.1,D43,int16,计算二温差,RO,屯留宾馆
